city,Country,Region,data_type,tier,Monthly_Budget_Single_EUR,Monthly_Budget_Single,Monthly_Budget_Family_EUR,Monthly_Budget_Single,Studio_Center_EUR,Studio_Center_Cost,Studio_Outside_EUR,Studio_Outside_Cost,1BR_Center_EUR,1BR_Center_Cost,1BR_Outside_EUR,1BR_Outside_Cost,2BR_Center_EUR,2BR_Center_Cost,2BR_Outside_EUR,2BR_Outside_Cost,3BR_Center_EUR,3BR_Center_Cost,3BR_Outside_EUR,3BR_Outside_Cost,Internet_Avg_Mbps,Internet_Reliability_Score,Coworking_Availability,Cafe_Work_Culture_Score,Public_Transport_Score,Bike_Friendly_Score,Walkability_Score,Airport_International,Flight_Connections_Score,Avg_Temp_Winter_C,Winter_Temperature,Avg_Temp_Summer_C,Summer_Temperature,Rainy_Days_Year,Rainfall_Level,Sunshine_Hours_Year,Sunshine_Level,Air_Quality_Score,Population_Density,Expat_Community_Size,Nomad_Community_Score,English_Proficiency_Score,Singles_Vibe_Score,Nightlife_Score,Dating_Scene_Score,Family_Friendly_Score,International_Schools_Count,International_Schools_Availability,Playground_Parks_Score,Healthcare_Quality_Score,Healthcare_Cost_Score,Safety_Score,Coffee_Culture_Score,Restaurant_Diversity_Score,Vegan_Friendly_Score,Fitness_Scene_Score,Outdoor_Activities_Score,Cultural_Events_Score,Startup_Scene_Score,Tech_Jobs_Score,Freelancer_Network_Score,Bureaucracy_Ease_Score,Digital_Nomad_Visa,Visa_Type_Details,Visa_Duration,Tax_Rate_Standard_Pct,Tax_Level,Tax_Benefits_Premium,Vibe_Tags,Premium_Insights
Budapest,Hungary,Central Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Good,Yes,White Card,Short-term (1 year),15,Low Tax,KATA tax (fixed € 400/mo for freelancers),,"Tax: KATA fixed low tax for freelancers | Visa: White Card for DN | Cost: Extremely cheap for capital | Baths: Unique thermal spa culture | Nightlife: Famous ruin bars | Best for: Budget travelers, spa lovers, party scene"
Budapest,Hungary,Central Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,15,Low Tax,KATA tax (fixed € 400/mo for freelancers),,
Tallinn,Estonia,Northern Europe,General,free,1300,Moderate,2700,Moderate,600,Affordable,450,Affordable,750,Moderate,550,Moderate,1150,Moderate,850,Moderate,1500,Moderate,1100,Moderate,200-500,Excellent,Moderate,Good,Good,Good,Good,TLL - Lennart Meri,Good,-5,Very Cold,20,Mild,80,Moderate,1900,Good Sunshine,Average,Medium,Medium,Good,Excellent,Good,Good,Good,Good,15,Moderate,Good,Good,Good,Excellent,Good,Good,Average,Good,Average,Good,Good,Good,Good,,,,,,,,"Digital, E-Residency, Medieval, Startup, Clean, Nordic, Tech-forward",
Tallinn,Estonia,Northern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Excellent,Yes,Digital Nomad Visa,Short-term (1 year),20,Low Tax,E-Residency (manage EU company remotely),,"Tax: E-Residency to run EU company | Visa: DN visa very accessible | Internet: Fastest in Europe | Startups: Skype birthplace | Digital: Most advanced e-gov | Best for: Tech entrepreneurs, digital business owners"
Tallinn,Estonia,Northern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,20,Low Tax,E-Residency (manage EU company remotely),,
Valencia,Spain,Southern Europe,General,free,1300,Moderate,2600,Moderate,700,Moderate,500,Moderate,850,Moderate,600,Moderate,1300,Moderate,950,Moderate,1700,Moderate,1250,Moderate,150-300,Good,Many,Good,Excellent,Excellent,Excellent,VLC - Valencia,Good,11,Mild,27,Warm,60,Dry,2696,Very High Sunshine,Good,Medium-High,Large,Excellent,Good,Good,Good,Good,Excellent,25,Many,Excellent,Good,Good,Good,Excellent,Excellent,Good,Good,Excellent,Good,Good,Average,Good,,,,,,,,"Beach, Paella, Family-Friendly, Sunny, Relaxed, Mediterranean, Affordable",
Valencia,Spain,Southern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,Yes,Digital Nomad Visa,Short-term (1 year),24,Moderate Tax,Beckham Law available,,"Tax: Beckham law option | Visa: New DN visa | Family: Excellent parks, beaches | Food: Paella origin | Cost: Cheaper than Barcelona | Best for: Families, beach lifestyle, foodies"
Valencia,Spain,Southern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,24,Moderate Tax,Beckham Law available,,
Porto,Portugal,Southern Europe,General,free,1200,Affordable,2500,Affordable,600,Affordable,450,Affordable,750,Moderate,550,Moderate,1150,Moderate,850,Moderate,1500,Moderate,1100,Moderate,100-200,Good,Moderate,Excellent,Good,Good,Good,OPO - Francisco SÃ¡ Carneiro,Good,10,Mild,24,Warm,120,Very Rainy,2538,High Sunshine,Average,Medium,Large,Excellent,Good,Good,Good,Good,Good,15,Moderate,Good,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Average,Average,Good,,,,,,,,"Wine, Charming, Authentic, Riverside, Food Scene, Affordable, Relaxed",
Porto,Portugal,Southern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Good,Yes,D7/D8 Visa,Long-term (2 years),28,Moderate Tax,NHR regime available,,"Tax: NHR available | Visa: D7/D8 | Wine: Port wine region | Cost: Very affordable | Food: Amazing restaurant scene | Best for: Wine lovers, foodies, authentic Portugal experience"
Porto,Portugal,Southern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,28,Moderate Tax,NHR regime available,,
Athens,Greece,Southern Europe,General,free,1100,Affordable,2400,Affordable,550,Affordable,400,Affordable,650,Affordable,450,Affordable,1000,Affordable,700,Affordable,1300,Affordable,950,Affordable,50-100,Good,Moderate,Good,Good,Average,Good,ATH - Eleftherios Venizelos,Good,10,Mild,30,Hot,90,Moderate,2771,Very High Sunshine,Average,High,Medium,Good,Good,Good,Good,Good,Good,20,Moderate,Average,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Average,Average,Good,,,,,,,,"Ancient, Historic, Mediterranean, Affordable, Sunny, Island-Access, Cultural",
Athens,Greece,Southern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,Yes,Digital Nomad Visa,Short-term (1 year),22,Moderate Tax,Reduced tax for new residents (50% reduction),,"Tax: 50% reduction for new tax residents | Visa: DN visa available | History: Unmatched ancient sites | Islands: Easy access to Greek islands | Cost: Very affordable | Best for: History buffs, island hoppers, sun seekers"
Athens,Greece,Southern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,22,Moderate Tax,Reduced tax for new residents (50% reduction),,
Krakow,Poland,Central Europe,General,free,950,Affordable,2100,Affordable,550,Affordable,400,Affordable,650,Affordable,450,Affordable,1000,Affordable,700,Affordable,1300,Affordable,950,Affordable,120-200,Good,Moderate,Good,Good,Good,Excellent,KRK - John Paul II,Good,-2,Cold,22,Mild,100,Rainy,1580,Moderate Sunshine,Average,Medium,Large,Good,Good,Good,Good,Good,Good,18,Moderate,Good,Good,Good,Excellent,Good,Good,Good,Good,Good,Good,Average,Average,Good,,,,,,,,"Medieval, Beer, Historic, Affordable, Students, Beautiful, Authentic",
Krakow,Poland,Central Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,No,Business/Freelance,Short-term (1 year),19,Low Tax,IP Box (5% tax on IP income),,"Tax: IP Box regime for tech | Cost: Very cheap | History: UNESCO old town | Cons: Cold winters | Best for: History lovers, budget conscious, winter sports nearby"
Krakow,Poland,Central Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,19,Low Tax,IP Box (5% tax on IP income),,
Split,Croatia,Southern Europe,General,free,1200,Affordable,2500,Affordable,650,Moderate,450,Affordable,800,Moderate,550,Moderate,1200,Moderate,850,Moderate,1600,Moderate,1150,Moderate,50-120,Good,Few,Good,Average,Good,Good,SPU - Split,Average,9,Mild,28,Hot,80,Moderate,2700,Very High Sunshine,Low,Medium,Medium,Good,Good,Good,Good,Good,Good,12,Few,Good,Good,Good,Good,Good,Good,Good,Good,Excellent,Good,Average,Average,Good,,,,,,,,"Beach, Sailing, Dalmatian Coast, Historic, Islands, Summer Vibe, Relaxed",
Split,Croatia,Southern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,Yes,Digital Nomad Visa,Short-term (1 year),25,Moderate Tax,Reduced rates for new residents,,"Tax: Digital nomad tax breaks | Visa: Croatia DN visa popular | Summer: Peak season amazing | Winter: Many places close | Islands: Easy island hopping | Best for: Summer nomads, sailing enthusiasts, island lovers"
Split,Croatia,Southern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,25,Moderate Tax,Reduced rates for new residents,,
Sofia,Bulgaria,Eastern Europe,General,free,800,Very Affordable,1800,Very Affordable,400,Very Affordable,300,Very Affordable,500,Very Affordable,350,Very Affordable,750,Very Affordable,550,Affordable,1000,Very Affordable,750,Affordable,80-150,Good,Few,Average,Good,Good,Good,SOF - Sofia,Average,0,Cold,24,Warm,100,Rainy,1800,Moderate Sunshine,Average,Medium,Medium,Good,Good,Good,Good,Good,Good,15,Moderate,Average,Good,Excellent,Good,Good,Good,Average,Good,Good,Average,Average,Average,Good,,,,,,,,"Affordable, Mountains, Skiing, Vitosha, Communist Architecture, Budget",
Sofia,Bulgaria,Eastern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,Yes,D Visa for Freelancers,Short-term (1 year),10,Very Low Tax,Lowest tax in EU (10% flat),,"Tax: 10% flat income tax | Cost: Cheapest EU capital | Mountains: Vitosha for skiing/hiking | Internet: Good for price | Healthcare: Cheap but variable quality | Best for: Extreme budget, mountain lovers, winter sports"
Sofia,Bulgaria,Eastern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,10,Very Low Tax,Lowest tax in EU (10% flat),,
Bucharest,Romania,Eastern Europe,General,free,900,Very Affordable,2000,Very Affordable,500,Affordable,350,Affordable,600,Affordable,400,Affordable,950,Affordable,650,Affordable,1200,Affordable,850,Affordable,200-500,Excellent,Moderate,Average,Good,Average,Good,OTP - Henri CoandÄƒ,Good,0,Cold,25,Warm,90,Moderate,2100,Good Sunshine,Good,Medium,Medium,Good,Good,Good,Good,Good,Average,12,Few,Average,Good,Excellent,Good,Good,Good,Average,Good,Good,Good,Average,Average,Good,,,,,,,,"Fastest Internet, Affordable, Nightlife, Communist Past, Paris of East, Gritty",
Bucharest,Romania,Eastern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,No,Freelance/Business,Short-term (1 year),10,Very Low Tax,Microenterprise (1-3% revenue tax),,"Tax: Microenterprise 1-3% on revenue | Internet: Fastest in Europe (500+ Mbps) | Cost: Very cheap | Nightlife: Underrated party scene | Best for: Digital workers needing speed, budget conscious"
Bucharest,Romania,Eastern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,10,Very Low Tax,Microenterprise (1-3% revenue tax),,
Tbilisi,Georgia,Eastern Europe,General,free,700,Very Affordable,1600,Very Affordable,350,Very Affordable,250,Very Affordable,450,Very Affordable,300,Very Affordable,700,Very Affordable,500,Very Affordable,900,Very Affordable,650,Very Affordable,50-100,Good,Few,Good,Average,Average,Good,TBS - Tbilisi International,Average,2,Cold,26,Warm,110,Rainy,2200,Good Sunshine,Average,Medium,Large,Good,Average,Good,Good,Good,Average,10,Few,Good,Average,Good,Excellent,Good,Good,Average,Average,Good,Average,Average,Average,Good,,,,,,,,"Cheap, Wine, Mountains, Unique, Caucasus, Startup Scene, Adventurous",
Tbilisi,Georgia,Eastern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Good,Yes,Remotely from Georgia,Short-term (1 year),1,Very Low Tax,Territorial taxation (foreign income 0%),,"Tax: 0% on foreign income under territorial system | Visa: 1-year DN visa easy | Cost: Extremely cheap | Wine: Ancient wine culture | Culture: Unique Caucasus blend | Best for: Budget nomads, adventurers, wine lovers"
Tbilisi,Georgia,Eastern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,1,Very Low Tax,Territorial taxation (foreign income 0%),,
Belgrade,Serbia,Eastern Europe,General,free,850,Very Affordable,1900,Very Affordable,450,Affordable,300,Very Affordable,550,Affordable,400,Affordable,850,Affordable,600,Affordable,1100,Affordable,800,Affordable,80-150,Good,Few,Good,Average,Average,Good,BEG - Nikola Tesla,Average,1,Cold,25,Warm,100,Rainy,2068,Good Sunshine,Average,Medium,Medium,Good,Good,Excellent,Good,Excellent,Average,10,Few,Average,Average,Good,Good,Good,Good,Good,Good,Good,Average,Average,Average,Good,,,,,,,,"Party, Nightlife, Rakija, Affordable, Balkans, Gritty, Alternative, Underground",
Belgrade,Serbia,Eastern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,No,Temporary Residence,Short-term (1 year),10,Very Low Tax,Lump sum taxation available,,"Tax: Low tax options | Nightlife: Amazing party scene | Cost: Very cheap | River: Danube and Sava confluence | Cons: Bureaucracy, smoking culture | Best for: Party lovers, budget travelers, Balkans base"
Belgrade,Serbia,Eastern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,10,Very Low Tax,Lump sum taxation available,,
Vilnius,Lithuania,Northern Europe,General,free,1100,Affordable,2400,Affordable,600,Affordable,400,Affordable,700,Affordable,500,Affordable,1050,Affordable,750,Affordable,1400,Affordable,1000,Affordable,120-250,Excellent,Few,Good,Good,Good,Good,VNO - Vilnius,Average,-4,Very Cold,21,Mild,90,Moderate,1800,Moderate Sunshine,Average,Medium,Medium,Good,Good,Good,Good,Good,Good,12,Few,Good,Good,Good,Excellent,Good,Good,Average,Good,Average,Good,Average,Average,Good,,,,,,,,"Baltic, Baroque, Affordable, Clean, Safe, Forest, Startup Scene",
Vilnius,Lithuania,Northern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Good,Yes,Temporary Residence Permit,Short-term (1 year),15,Low Tax,Individual activity certificate (5% tax),,"Tax: Individual activity 5% for freelancers | Cost: Affordable | Safety: Very safe | Nature: Surrounded by forests | Fintech: Growing fintech scene | Best for: Solo digital workers, safety-conscious, nature lovers"
Vilnius,Lithuania,Northern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,15,Low Tax,Individual activity certificate (5% tax),,
Riga,Latvia,Northern Europe,General,free,1150,Affordable,2500,Affordable,600,Affordable,450,Affordable,750,Moderate,550,Moderate,1150,Moderate,850,Moderate,1500,Moderate,1100,Moderate,100-200,Good,Few,Good,Good,Good,Good,RIX - Riga International,Average,-3,Very Cold,21,Mild,95,Rainy,1750,Moderate Sunshine,Average,Medium,Medium,Good,Good,Good,Good,Good,Good,10,Few,Good,Good,Good,Excellent,Good,Good,Average,Good,Average,Good,Average,Average,Good,,,,,,,,"Art Nouveau, Baltic, Affordable, Architecture, Old Town, Beach Access",
Riga,Latvia,Northern Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,No,Temporary Residence,Short-term (1 year),20,Low Tax,Microenterprise tax (25% on profit),,"Tax: Microenterprise options | Architecture: Stunning Art Nouveau | Beach: Nearby Jurmala | Cost: Affordable | Old Town: UNESCO heritage | Best for: Architecture lovers, beach + city combo"
Riga,Latvia,Northern Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,20,Low Tax,Microenterprise tax (25% on profit),,
Warsaw,Poland,Central Europe,General,free,1200,Affordable,2600,Affordable,650,Moderate,450,Affordable,800,Moderate,600,Moderate,1200,Moderate,900,Moderate,1600,Moderate,1200,Moderate,150-300,Good,Moderate,Good,Good,Good,Good,WAW - Chopin,Good,-1,Cold,23,Mild,100,Rainy,1600,Moderate Sunshine,Average,Medium-High,Medium,Good,Good,Good,Good,Good,Good,20,Moderate,Good,Good,Good,Good,Good,Good,Good,Good,Average,Good,Good,Good,Good,,,,,,,,"Modern, Business, Rebuilt, Growing, Tech Hub, Professional, Ambitious",
Warsaw,Poland,Central Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Average,No,Business/Work,Short-term (1 year),19,Low Tax,IP Box (5% for IT),,"Tax: IP Box for tech workers | Economy: Strongest in Eastern Europe | Modern: Rebuilt after WWII | Professional: Business-oriented | Cost: More expensive than Krakow but still affordable | Best for: Tech professionals, career-focused"
Warsaw,Poland,Central Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,19,Low Tax,IP Box (5% for IT),,
Amsterdam,Netherlands,Western Europe,General,free,2200,Very Expensive,4500,Very Expensive,1300,Very Expensive,950,Very Expensive,1600,Very Expensive,1200,Very Expensive,2400,Very Expensive,1800,Very Expensive,3200,Very Expensive,2400,Very Expensive,200-500,Excellent,Abundant,Excellent,Excellent,Excellent,Excellent,AMS - Schiphol,Excellent,4,Cool,21,Mild,100,Rainy,1660,Moderate Sunshine,Good,Very High,Very Large,Excellent,Excellent,Good,Good,Excellent,Average,50,Abundant,Good,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,,,,,,,,"Bikes, Canals, Liberal, International, Expensive, Tech Hub, English-Friendly",
Amsterdam,Netherlands,Western Europe,Visa,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,Good,No,Highly Skilled Migrant,Very Long-term (5 years),37.1,High Tax,30% ruling (tax break for expats),,"Tax: 30% ruling gives significant break for qualified expats | Bikes: Best bike infrastructure globally | English: Everyone speaks English | Cost: Very expensive | Tech: Major startup hub | Best for: High earners, tech workers, bike enthusiasts"
Amsterdam,Netherlands,Western Europe,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,,,,,,,,,,,,,,,,,,,,,37.1,High Tax,30% ruling (tax break for expats),,
