city,data_type,tier,1BR_Center_Cost,1BR_Center_EUR,1BR_Outside_Cost,1BR_Outside_EUR,2BR_Center_Cost,2BR_Center_EUR,2BR_Outside_Cost,2BR_Outside_EUR,3BR_Center_Cost,3BR_Center_EUR,3BR_Outside_Cost,3BR_Outside_EUR,Air_Quality_Score,Airport_International,Avg_Temp_Summer_C,Avg_Temp_Winter_C,Bike_Friendly_Score,Bureaucracy_Ease_Score,Cafe_Work_Culture_Score,City,Coffee_Culture_Score,Country,Coworking_Availability,Cultural_Events_Score,Dating_Scene_Score,Digital_Nomad_Visa,English_Proficiency_Score,Expat_Community_Size,Family_Friendly_Score,Fitness_Scene_Score,Flight_Connections_Score,Freelancer_Network_Score,Healthcare_Cost_Score,Healthcare_Quality_Score,International_Schools_Availability,International_Schools_Count,Internet_Avg_Mbps,Internet_Reliability_Score,Monthly_Budget_Family,Monthly_Budget_Family_EUR,Monthly_Budget_Single,Monthly_Budget_Single_EUR,Nightlife_Score,Nomad_Community_Score,Outdoor_Activities_Score,Playground_Parks_Score,Population_Density,Premium_Insights,Public_Transport_Score,Rainfall_Level,Rainy_Days_Year,Region,Restaurant_Diversity_Score,Safety_Score,Singles_Vibe_Score,Startup_Scene_Score,Studio_Center_Cost,Studio_Center_EUR,Studio_Outside_Cost,Studio_Outside_EUR,Summer_Temperature,Sunshine_Hours_Year,Sunshine_Level,Tax_Benefits_Premium,Tax_Level,Tax_Rate_Standard_Pct,Tech_Jobs_Score,Vegan_Friendly_Score,Vibe_Tags,Visa_Duration,Visa_Type_Details,Walkability_Score,Winter_Temperature
Split,General,free,Moderate,800,Moderate,550,Moderate,1200,Moderate,850,Moderate,1600,Moderate,1150,Low,SPU - Split,28,9,Good,,Good,Split,Good,Croatia,Few,Good,Good,,Good,Medium,Good,Good,Average,Good,Good,Good,Few,12,50-120,Good,Affordable,2500,Affordable,1200,Good,Good,Excellent,Good,Medium,,Average,Moderate,80,Southern Europe,Good,Good,Good,Average,Moderate,650,Affordable,450,Hot,2700,Very High Sunshine,,,,Average,Good,"Beach, Sailing, Dalmatian Coast, Historic, Islands, Summer Vibe, Relaxed",,,Good,Mild
Sofia,General,free,Very Affordable,500,Very Affordable,350,Very Affordable,750,Affordable,550,Very Affordable,1000,Affordable,750,Average,SOF - Sofia,24,0,Good,,Average,Sofia,Good,Bulgaria,Few,Average,Good,,Good,Medium,Good,Good,Average,Good,Excellent,Good,Moderate,15,80-150,Good,Very Affordable,1800,Very Affordable,800,Good,Good,Good,Average,Medium,,Good,Rainy,100,Eastern Europe,Good,Good,Good,Average,Very Affordable,400,Very Affordable,300,Warm,1800,Moderate Sunshine,,,,Average,Average,"Affordable, Mountains, Skiing, Vitosha, Communist Architecture, Budget",,,Good,Cold
Bucharest,General,free,Affordable,600,Affordable,400,Affordable,950,Affordable,650,Affordable,1200,Affordable,850,Good,OTP - Henri CoandÄƒ,25,0,Average,,Average,Bucharest,Good,Romania,Moderate,Good,Good,,Good,Medium,Average,Good,Good,Good,Excellent,Good,Few,12,200-500,Excellent,Very Affordable,2000,Very Affordable,900,Good,Good,Good,Average,Medium,,Good,Moderate,90,Eastern Europe,Good,Good,Good,Average,Affordable,500,Affordable,350,Warm,2100,Good Sunshine,,,,Average,Average,"Fastest Internet, Affordable, Nightlife, Communist Past, Paris of East, Gritty",,,Good,Cold
Tbilisi,General,free,Very Affordable,450,Very Affordable,300,Very Affordable,700,Very Affordable,500,Very Affordable,900,Very Affordable,650,Average,TBS - Tbilisi International,26,2,Average,,Good,Tbilisi,Good,Georgia,Few,Average,Good,,Average,Large,Average,Average,Average,Good,Good,Average,Few,10,50-100,Good,Very Affordable,1600,Very Affordable,700,Good,Good,Good,Good,Medium,,Average,Rainy,110,Caucasus,Good,Excellent,Good,Average,Very Affordable,350,Very Affordable,250,Warm,2200,Good Sunshine,,,,Average,Average,"Cheap, Wine, Mountains, Unique, Caucasus, Startup Scene, Adventurous",,,Good,Cold
Belgrade,General,free,Affordable,550,Affordable,400,Affordable,850,Affordable,600,Affordable,1100,Affordable,800,Average,BEG - Nikola Tesla,25,1,Average,,Good,Belgrade,Good,Serbia,Few,Average,Excellent,,Good,Medium,Average,Good,Average,Good,Good,Average,Few,10,80-150,Good,Very Affordable,1900,Very Affordable,850,Good,Good,Good,Average,Medium,,Average,Rainy,100,Eastern Europe,Good,Good,Excellent,Average,Affordable,450,Very Affordable,300,Warm,2068,Good Sunshine,,,,Average,Good,"Party, Nightlife, Rakija, Affordable, Balkans, Gritty, Alternative, Underground",,,Good,Cold
Vilnius,General,free,Affordable,700,Affordable,500,Affordable,1050,Affordable,750,Affordable,1400,Affordable,1000,Average,VNO - Vilnius,21,-4,Good,,Good,Vilnius,Good,Lithuania,Few,Good,Good,,Good,Medium,Good,Good,Average,Good,Good,Good,Few,12,120-250,Excellent,Affordable,2400,Affordable,1100,Good,Good,Average,Good,Medium,,Good,Moderate,90,Northern Europe,Good,Excellent,Good,Average,Affordable,600,Affordable,400,Mild,1800,Moderate Sunshine,,,,Average,Average,"Baltic, Baroque, Affordable, Clean, Safe, Forest, Startup Scene",,,Good,Very Cold
Riga,General,free,Moderate,750,Moderate,550,Moderate,1150,Moderate,850,Moderate,1500,Moderate,1100,Average,RIX - Riga International,21,-3,Good,,Good,Riga,Good,Latvia,Few,Good,Good,,Good,Medium,Good,Good,Average,Good,Good,Good,Few,10,100-200,Good,Affordable,2500,Affordable,1150,Good,Good,Average,Good,Medium,,Good,Rainy,95,Northern Europe,Good,Excellent,Good,Average,Affordable,600,Affordable,450,Mild,1750,Moderate Sunshine,,,,Average,Average,"Art Nouveau, Baltic, Affordable, Architecture, Old Town, Beach Access",,,Good,Very Cold
Warsaw,General,free,Moderate,800,Moderate,600,Moderate,1200,Moderate,900,Moderate,1600,Moderate,1200,Average,WAW - Chopin,23,-1,Good,,Good,Warsaw,Good,Poland,Moderate,Good,Good,,Good,Medium,Good,Good,Good,Good,Good,Good,Moderate,20,150-300,Good,Affordable,2600,Affordable,1200,Good,Good,Average,Good,Medium-High,,Good,Rainy,100,Central Europe,Good,Good,Good,Good,Moderate,650,Affordable,450,Mild,1600,Moderate Sunshine,,,,Good,Good,"Modern, Business, Rebuilt, Growing, Tech Hub, Professional, Ambitious",,,Good,Cold
Amsterdam,General,free,Very Expensive,1600,Very Expensive,1200,Very Expensive,2400,Very Expensive,1800,Very Expensive,3200,Very Expensive,2400,Good,AMS - Schiphol,21,4,Excellent,,Excellent,Amsterdam,Excellent,Netherlands,Abundant,Excellent,Excellent,,Excellent,Very Large,Average,Excellent,Excellent,Excellent,Good,Excellent,Abundant,50,200-500,Excellent,Very Expensive,4500,Very Expensive,2200,Good,Excellent,Good,Good,Very High,,Excellent,Rainy,100,Western Europe,Excellent,Excellent,Good,Excellent,Very Expensive,1300,Very Expensive,950,Mild,1660,Moderate Sunshine,,,,Excellent,Excellent,"Bikes, Canals, Liberal, International, Expensive, Tech Hub, English-Friendly",,,Excellent,Cool
Copenhagen,General,free,Very Expensive,1700,Very Expensive,1300,Very Expensive,2600,Very Expensive,1950,Very Expensive,3500,Very Expensive,2600,Average,CPH - Kastrup,20,2,Excellent,,Excellent,Copenhagen,Excellent,Denmark,Many,Good,Good,,Excellent,Large,Good,Excellent,Excellent,Excellent,Good,Excellent,Many,35,150-300,Excellent,Very Expensive,5000,Very Expensive,2400,Good,Excellent,Good,Excellent,Very High,,Excellent,Rainy,110,Northern Europe,Excellent,Excellent,Good,Excellent,Very Expensive,1400,Very Expensive,1000,Mild,1600,Moderate Sunshine,,,,Excellent,Excellent,"Hygge, Bikes, Design, Expensive, Quality of Life, Sustainable, Happy",,,Excellent,Cold
Stockholm,General,free,Very Expensive,1600,Very Expensive,1200,Very Expensive,2450,Very Expensive,1850,Very Expensive,3300,Very Expensive,2500,Average,ARN - Arlanda,21,-2,Excellent,,Good,Stockholm,Excellent,Sweden,Many,Excellent,Good,,Excellent,Large,Good,Excellent,Excellent,Excellent,Good,Excellent,Many,30,200-400,Excellent,Very Expensive,4800,Very Expensive,2300,Good,Excellent,Good,Good,Very High,,Excellent,Rainy,110,Northern Europe,Excellent,Excellent,Good,Excellent,Very Expensive,1300,Very Expensive,950,Mild,1900,Good Sunshine,,,,Excellent,Excellent,"Archipelago, Design, Innovative, Expensive, Islands, Tech, Beautiful, Clean",,,Good,Cold
Edinburgh,General,free,Expensive,1100,Expensive,800,Expensive,1650,Expensive,1250,Expensive,2200,Expensive,1650,Average,EDI - Edinburgh,18,4,Good,,Good,Edinburgh,Excellent,Scotland,Moderate,Excellent,Good,,Excellent,Large,Good,Good,Good,Good,Good,Excellent,Many,25,100-200,Good,Expensive,3500,Expensive,1700,Good,Good,Good,Good,Medium-High,,Good,Moderate,80,UK,Good,Good,Good,Good,Expensive,900,Moderate,650,Cool,1447,Low Sunshine,,,,Good,Good,"Castle, Festival, Whisky, Historic, Literary, Hilly, Rainy, Cultural",,,Excellent,Cool
Dublin,General,free,Very Expensive,1700,Very Expensive,1250,Very Expensive,2550,Very Expensive,1900,Very Expensive,3400,Very Expensive,2550,Average,DUB - Dublin,19,6,Good,,Good,Dublin,Excellent,Ireland,Moderate,Good,Excellent,,Excellent,Very Large,Good,Good,Excellent,Excellent,Good,Good,Many,30,150-300,Good,Very Expensive,4300,Very Expensive,2100,Excellent,Excellent,Good,Good,Very High,,Good,Moderate,90,Western Europe,Excellent,Good,Excellent,Excellent,Very Expensive,1400,Very Expensive,1000,Cool,1450,Low Sunshine,,,,Excellent,Good,"Tech Hub, Pubs, English, Rainy, Google/Facebook/Apple HQ, Friendly, Expensive",,,Good,Cool
Munich,General,free,Very Expensive,1400,Very Expensive,1050,Very Expensive,2100,Very Expensive,1600,Very Expensive,2800,Very Expensive,2100,Average,MUC - Franz Josef Strauss,23,-1,Excellent,,Good,Munich,Excellent,Germany,Many,Good,Good,,Excellent,Large,Good,Excellent,Excellent,Excellent,Good,Excellent,Many,35,150-300,Excellent,Very Expensive,4200,Expensive,2000,Good,Excellent,Excellent,Good,Very High,,Excellent,Moderate,90,Western Europe,Excellent,Excellent,Good,Excellent,Very Expensive,1150,Very Expensive,850,Mild,1755,Moderate Sunshine,,,,Good,Good,"Beer Gardens, Oktoberfest, Quality of Life, Alps, Expensive, Clean, Efficient",,,Excellent,Cold
Vienna,General,free,Expensive,1100,Expensive,800,Expensive,1650,Expensive,1250,Expensive,2200,Expensive,1650,Average,VIE - Vienna International,25,0,Excellent,,Excellent,Vienna,Excellent,Austria,Many,Excellent,Good,,Excellent,Large,Excellent,Good,Excellent,Good,Good,Excellent,Abundant,40,100-200,Excellent,Expensive,3800,Expensive,1800,Good,Excellent,Good,Excellent,Very High,,Excellent,Moderate,90,Western Europe,Excellent,Excellent,Good,Good,Expensive,900,Moderate,650,Warm,1992,Good Sunshine,,,,Good,Good,"Classical Music, Coffee Houses, Imperial, Quality of Life, Culture, Elegant",,,Excellent,Cold
Malta,General,free,Moderate,1000,Moderate,750,Expensive,1550,Expensive,1150,Expensive,2000,Expensive,1500,Good,MLA - Malta International,28,13,Average,,Good,Malta,Good,Malta,Few,Good,Good,,Excellent,Very Large,Good,Good,Good,Good,Good,Good,Many,25,100-200,Good,Expensive,3300,Moderate,1600,Good,Excellent,Excellent,Average,Very High,,Average,Very Dry,50,Southern Europe,Good,Excellent,Good,Good,Moderate,800,Moderate,600,Hot,3000,Very High Sunshine,,,,Average,Good,"Island, English-Speaking, EU, Sunny, Diving, Small, Gaming/iGaming Hub",,,Good,Warm
Malaga,General,free,Moderate,850,Moderate,600,Moderate,1300,Moderate,950,Moderate,1700,Moderate,1250,Average,AGP - Costa del Sol,28,13,Good,,Good,Malaga,Excellent,Spain,Moderate,Good,Good,,Good,Large,Good,Good,Good,Good,Good,Good,Moderate,20,100-200,Good,Affordable,2600,Moderate,1250,Good,Good,Excellent,Good,Medium-High,,Good,Very Dry,50,Southern Europe,Good,Good,Good,Average,Moderate,700,Moderate,500,Hot,2901,Very High Sunshine,,,,Average,Good,"Sunny, Beach, Retirement, Costa del Sol, Affordable, Year-round Sun, Relaxed",,,Excellent,Warm
Nice,General,free,Expensive,1200,Expensive,900,Expensive,1800,Expensive,1350,Expensive,2400,Expensive,1800,Average,NCE - CÃ´te d'Azur,26,9,Good,,Excellent,Nice,Excellent,France,Moderate,Good,Good,,Good,Medium,Good,Good,Good,Good,Good,Good,Many,25,100-200,Good,Expensive,3900,Expensive,1900,Good,Good,Excellent,Good,High,,Good,Moderate,90,Southern Europe,Excellent,Good,Good,Good,Expensive,1000,Expensive,700,Warm,2724,Very High Sunshine,,,,Average,Good,"French Riviera, Beach, Expensive, Elegant, Mediterranean, Art, Glamorous",,,Good,Mild
Sarajevo,General,free,Very Affordable,400,Very Affordable,300,Very Affordable,650,Very Affordable,450,Very Affordable,800,Very Affordable,600,Average,SJJ - Sarajevo International,24,0,Average,,Average,Sarajevo,Average,Bosnia,Very Few,Average,Average,,Average,Small,Average,Average,Low,Average,Excellent,Average,Very Few,8,50-100,Average,Very Affordable,1600,Very Affordable,700,Average,Average,Good,Average,Small,,Average,Rainy,110,Balkans,Good,Good,Average,Low,Very Affordable,350,Very Affordable,250,Warm,1800,Moderate Sunshine,,,,Low,Average,"Affordable, Historic, Ottoman, Austro-Hungarian, Mountains, War History",,,Good,Cold
Tirana,General,free,Very Affordable,450,Very Affordable,300,Very Affordable,700,Very Affordable,500,Very Affordable,900,Very Affordable,650,Average,TIA - Mother Teresa,28,8,Average,,Average,Tirana,Good,Albania,Very Few,Average,Good,,Average,Growing,Average,Good,Average,Average,Excellent,Average,Very Few,8,50-120,Average,Very Affordable,1700,Very Affordable,750,Good,Average,Excellent,Average,Small,,Average,Very Rainy,120,Balkans,Good,Good,Good,Low,Very Affordable,350,Very Affordable,250,Hot,2500,High Sunshine,,,,Low,Average,"Cheap, Mountains, Beach Access, Albanian Alps, Developing, Colorful, Chaotic",,,Good,Mild
Brno,General,free,Affordable,650,Affordable,450,Affordable,1000,Affordable,700,Affordable,1300,Affordable,950,Low,BRQ - Turany,22,0,Good,,Good,Brno,Good,Czech Republic,Few,Good,Good,,Good,Medium,Good,Good,Average,Good,Good,Good,Moderate,15,80-150,Good,Affordable,2100,Affordable,950,Good,Good,Good,Good,Medium,,Good,Moderate,90,Central Europe,Good,Excellent,Good,Average,Affordable,550,Affordable,400,Mild,1900,Good Sunshine,,,,Average,Average,"Students, Tech, Affordable, Quieter Prague, University, Central, Underrated",,,Good,Cold
Gdansk,General,free,Affordable,700,Affordable,500,Affordable,1050,Affordable,750,Affordable,1400,Affordable,1000,Low,GDN - Lech WaÅ‚Ä™sa,20,0,Good,,Good,Gdansk,Good,Poland,Few,Good,Good,,Good,Small,Good,Good,Average,Good,Good,Good,Few,12,100-200,Good,Affordable,2200,Affordable,1000,Good,Good,Good,Good,Medium,,Good,Rainy,100,Central Europe,Good,Excellent,Good,Average,Affordable,550,Affordable,400,Mild,1600,Moderate Sunshine,,,,Average,Average,"Baltic, Hanseatic, Beach, Historic, Solidarity, Amber, Coastal, Authentic",,,Good,Cold
Ljubljana,General,free,Moderate,800,Moderate,600,Moderate,1200,Moderate,900,Moderate,1600,Moderate,1200,Average,LJU - JoÅ¾e PuÄnik,24,1,Excellent,,Good,Ljubljana,Good,Slovenia,Few,Good,Good,,Good,Small,Good,Good,Average,Good,Good,Excellent,Few,10,100-200,Good,Moderate,2700,Moderate,1300,Average,Good,Excellent,Good,Small,,Good,Rainy,100,Central Europe,Good,Excellent,Good,Average,Moderate,650,Moderate,500,Warm,1900,Good Sunshine,,,,Average,Good,"Green, Dragon, Small, Central, Alps, Safe, Clean, Charming, Compact",,,Excellent,Cold
Cluj-Napoca,General,free,Affordable,550,Affordable,400,Affordable,850,Affordable,600,Affordable,1100,Affordable,800,Average,CLJ - Avram Iancu,23,-2,Good,,Average,Cluj-Napoca,Good,Romania,Few,Good,Good,,Good,Medium,Average,Good,Average,Good,Excellent,Good,Few,10,150-300,Excellent,Very Affordable,1900,Very Affordable,850,Good,Good,Good,Average,Medium,,Good,Rainy,100,Eastern Europe,Good,Good,Good,Good,Affordable,450,Very Affordable,300,Mild,1900,Good Sunshine,,,,Good,Average,"Tech Hub, Students, Transylvania, Affordable, Romanian Silicon Valley, Growing",,,Good,Cold
Wroclaw,General,free,Affordable,700,Affordable,500,Affordable,1050,Affordable,750,Affordable,1400,Affordable,1000,Low,WRO - Nicolaus Copernicus,22,-1,Good,,Good,Wroclaw,Good,Poland,Moderate,Good,Good,,Good,Medium,Good,Good,Average,Good,Good,Good,Moderate,15,120-200,Good,Affordable,2200,Affordable,1000,Good,Good,Good,Good,Medium,,Good,Rainy,100,Central Europe,Good,Excellent,Good,Average,Affordable,550,Affordable,400,Mild,1650,Moderate Sunshine,,,,Average,Good,"Dwarfs, Market Square, Gnomes, Beautiful, Students, Affordable, Charming",,,Excellent,Cold
Seville,General,free,Moderate,800,Moderate,550,Moderate,1200,Moderate,850,Moderate,1600,Moderate,1150,Average,SVQ - San Pablo,32,11,Good,,Good,Seville,Excellent,Spain,Few,Good,Good,,Good,Medium,Good,Good,Good,Good,Good,Good,Moderate,18,100-150,Good,Affordable,2500,Affordable,1200,Good,Good,Good,Good,Medium,,Good,Very Dry,50,Southern Europe,Good,Good,Good,Average,Moderate,650,Affordable,450,Very Hot,2917,Very High Sunshine,,,,Average,Good,"Flamenco, Tapas, Hot Summers, Authentic, Culture, Feria, Passionate, Traditional",,,Good,Mild
Granada,General,free,Affordable,700,Affordable,500,Affordable,1050,Affordable,750,Affordable,1400,Affordable,1000,Low,GRX - Federico GarcÃ­a Lorca,30,8,Good,,Good,Granada,Excellent,Spain,Few,Good,Good,,Good,Medium,Good,Good,Average,Good,Good,Good,Moderate,15,80-150,Good,Affordable,2200,Affordable,1000,Good,Good,Excellent,Good,Medium,,Good,Moderate,80,Southern Europe,Good,Good,Good,Average,Affordable,550,Affordable,400,Hot,2900,Very High Sunshine,,,,Average,Good,"Alhambra, Moorish, Mountains, Sierra Nevada, Tapas Free, Students, Affordable",,,Excellent,Mild
Naples,General,free,Moderate,750,Moderate,550,Moderate,1150,Moderate,850,Moderate,1500,Moderate,1100,Good,NAP - Capodichino,28,9,Average,,Good,Naples,Excellent,Italy,Few,Good,Good,,Average,Small,Good,Good,Good,Good,Good,Good,Few,12,50-120,Average,Affordable,2400,Affordable,1100,Good,Average,Excellent,Average,Medium,,Average,Rainy,100,Southern Europe,Good,Good,Good,Average,Affordable,600,Affordable,450,Hot,2500,High Sunshine,,,,Average,Good,"Pizza, Authentic, Chaotic, Vesuvius, Amalfi Coast, Gritty, Real Italy",,,Good,Mild
Thessaloniki,General,free,Affordable,650,Affordable,450,Affordable,1000,Affordable,700,Affordable,1300,Affordable,950,Average,SKG - Macedonia,28,6,Average,,Good,Thessaloniki,Good,Greece,Few,Good,Good,,Good,Small,Good,Good,Average,Good,Good,Good,Moderate,15,80-150,Good,Affordable,2200,Affordable,1000,Good,Average,Good,Average,Medium,,Good,Moderate,90,Southern Europe,Good,Good,Good,Average,Affordable,550,Affordable,400,Hot,2400,High Sunshine,,,,Average,Good,"Waterfront, Students, Affordable, Byzantine, Relaxed, Food Scene, Coastal",,,Good,Cool
Plovdiv,General,free,Very Affordable,450,Very Affordable,300,Very Affordable,700,Very Affordable,500,Very Affordable,900,Very Affordable,650,Low,PDV - Plovdiv,24,0,Good,,Average,Plovdiv,Average,Bulgaria,Very Few,Average,Average,,Average,Small,Good,Average,Low,Average,Excellent,Good,Few,10,80-150,Good,Very Affordable,1600,Very Affordable,700,Average,Average,Good,Average,Small,,Average,Rainy,100,Eastern Europe,Good,Good,Average,Low,Very Affordable,350,Very Affordable,250,Warm,2100,Good Sunshine,,,,Low,Average,"Ancient, Roman, Affordable, Cultural Capital 2019, Artistic, Hills, Authentic",,,Good,Cold
