city,data_type,tier,1BR_Center_Cost,1BR_Center_EUR,1BR_Outside_Cost,1BR_Outside_EUR,2BR_Center_Cost,2BR_Center_EUR,2BR_Outside_Cost,2BR_Outside_EUR,3BR_Center_Cost,3BR_Center_EUR,3BR_Outside_Cost,3BR_Outside_EUR,Air_Quality_Score,Airport_International,Avg_Temp_Summer_C,Avg_Temp_Winter_C,Bike_Friendly_Score,Bureaucracy_Ease_Score,Cafe_Work_Culture_Score,City,Coffee_Culture_Score,Country,Coworking_Availability,Cultural_Events_Score,Dating_Scene_Score,Digital_Nomad_Visa,English_Proficiency_Score,Expat_Community_Size,Family_Friendly_Score,Fitness_Scene_Score,Flight_Connections_Score,Freelancer_Network_Score,Healthcare_Cost_Score,Healthcare_Quality_Score,International_Schools_Availability,International_Schools_Count,Internet_Avg_Mbps,Internet_Reliability_Score,Monthly_Budget_Family,Monthly_Budget_Family_EUR,Monthly_Budget_Single,Monthly_Budget_Single_EUR,Nightlife_Score,Nomad_Community_Score,Outdoor_Activities_Score,Playground_Parks_Score,Population_Density,Premium_Insights,Public_Transport_Score,Rainfall_Level,Rainy_Days_Year,Region,Restaurant_Diversity_Score,Safety_Score,Singles_Vibe_Score,Startup_Scene_Score,Studio_Center_Cost,Studio_Center_EUR,Studio_Outside_Cost,Studio_Outside_EUR,Summer_Temperature,Sunshine_Hours_Year,Sunshine_Level,Tax_Benefits_Premium,Tax_Level,Tax_Rate_Standard_Pct,Tech_Jobs_Score,Vegan_Friendly_Score,Vibe_Tags,Visa_Duration,Visa_Type_Details,Walkability_Score,Winter_Temperature
Budapest,General,free,Affordable,700,Affordable,500,Affordable,1050,Affordable,750,Affordable,1400,Affordable,1000,Good,BUD - Ferenc Liszt,26,1,Good,,Good,Budapest,Good,Hungary,Moderate,Good,Good,,Good,Large,Good,Good,Good,Good,Good,Good,Moderate,20,120-200,Good,Affordable,2200,Affordable,1000,Good,Excellent,Good,Good,High,,Good,Moderate,90,Central Europe,Good,Good,Good,Average,Affordable,550,Affordable,400,Warm,2047,Good Sunshine,,,,Average,Good,"Thermal Baths, Affordable, Ruin Bars, Beautiful, Party, Historic",,,Good,Cold
Budapest,Visa,premium,,,,,,,,,,,,,,,,,,Good,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: KATA fixed low tax for freelancers | Visa: White Card for DN | Cost: Extremely cheap for capital | Baths: Unique thermal spa culture | Nightlife: Famous ruin bars | Best for: Budget travelers, spa lovers, party scene",,,,,,,,,,,,,,,,KATA tax (fixed € 400/mo for freelancers),Low Tax,15,,,,Short-term (1 year),White Card,,
Budapest,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KATA tax (fixed € 400/mo for freelancers),Low Tax,15,,,,,,,
Tallinn,General,free,Moderate,750,Moderate,550,Moderate,1150,Moderate,850,Moderate,1500,Moderate,1100,Average,TLL - Lennart Meri,20,-5,Good,,Good,Tallinn,Good,Estonia,Moderate,Good,Good,,Excellent,Medium,Good,Good,Good,Good,Good,Good,Moderate,15,200-500,Excellent,Moderate,2700,Moderate,1300,Good,Good,Average,Good,Medium,,Good,Moderate,80,Northern Europe,Good,Excellent,Good,Good,Affordable,600,Affordable,450,Mild,1900,Good Sunshine,,,,Good,Average,"Digital, E-Residency, Medieval, Startup, Clean, Nordic, Tech-forward",,,Good,Very Cold
Tallinn,Visa,premium,,,,,,,,,,,,,,,,,,Excellent,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: E-Residency to run EU company | Visa: DN visa very accessible | Internet: Fastest in Europe | Startups: Skype birthplace | Digital: Most advanced e-gov | Best for: Tech entrepreneurs, digital business owners",,,,,,,,,,,,,,,,E-Residency (manage EU company remotely),Low Tax,20,,,,Short-term (1 year),Digital Nomad Visa,,
Tallinn,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E-Residency (manage EU company remotely),Low Tax,20,,,,,,,
Valencia,General,free,Moderate,850,Moderate,600,Moderate,1300,Moderate,950,Moderate,1700,Moderate,1250,Good,VLC - Valencia,27,11,Excellent,,Good,Valencia,Excellent,Spain,Many,Good,Good,,Good,Large,Excellent,Good,Good,Good,Good,Good,Many,25,150-300,Good,Affordable,2600,Moderate,1300,Good,Excellent,Excellent,Excellent,Medium-High,,Excellent,Dry,60,Southern Europe,Excellent,Good,Good,Good,Moderate,700,Moderate,500,Warm,2696,Very High Sunshine,,,,Average,Good,"Beach, Paella, Family-Friendly, Sunny, Relaxed, Mediterranean, Affordable",,,Excellent,Mild
Valencia,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: Beckham law option | Visa: New DN visa | Family: Excellent parks, beaches | Food: Paella origin | Cost: Cheaper than Barcelona | Best for: Families, beach lifestyle, foodies",,,,,,,,,,,,,,,,Beckham Law available,Moderate Tax,24,,,,Short-term (1 year),Digital Nomad Visa,,
Valencia,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beckham Law available,Moderate Tax,24,,,,,,,
Porto,General,free,Moderate,750,Moderate,550,Moderate,1150,Moderate,850,Moderate,1500,Moderate,1100,Average,OPO - Francisco SÃ¡ Carneiro,24,10,Good,,Excellent,Porto,Excellent,Portugal,Moderate,Good,Good,,Good,Large,Good,Good,Good,Good,Good,Good,Moderate,15,100-200,Good,Affordable,2500,Affordable,1200,Good,Excellent,Good,Good,Medium,,Good,Very Rainy,120,Southern Europe,Good,Good,Good,Average,Affordable,600,Affordable,450,Warm,2538,High Sunshine,,,,Average,Good,"Wine, Charming, Authentic, Riverside, Food Scene, Affordable, Relaxed",,,Good,Mild
Porto,Visa,premium,,,,,,,,,,,,,,,,,,Good,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: NHR available | Visa: D7/D8 | Wine: Port wine region | Cost: Very affordable | Food: Amazing restaurant scene | Best for: Wine lovers, foodies, authentic Portugal experience",,,,,,,,,,,,,,,,NHR regime available,Moderate Tax,28,,,,Long-term (2 years),D7/D8 Visa,,
Porto,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHR regime available,Moderate Tax,28,,,,,,,
Athens,General,free,Affordable,650,Affordable,450,Affordable,1000,Affordable,700,Affordable,1300,Affordable,950,Average,ATH - Eleftherios Venizelos,30,10,Average,,Good,Athens,Good,Greece,Moderate,Good,Good,,Good,Medium,Good,Good,Good,Good,Good,Good,Moderate,20,50-100,Good,Affordable,2400,Affordable,1100,Good,Good,Excellent,Average,High,,Good,Moderate,90,Southern Europe,Good,Good,Good,Average,Affordable,550,Affordable,400,Hot,2771,Very High Sunshine,,,,Average,Good,"Ancient, Historic, Mediterranean, Affordable, Sunny, Island-Access, Cultural",,,Good,Mild
Athens,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: 50% reduction for new tax residents | Visa: DN visa available | History: Unmatched ancient sites | Islands: Easy access to Greek islands | Cost: Very affordable | Best for: History buffs, island hoppers, sun seekers",,,,,,,,,,,,,,,,Reduced tax for new residents (50% reduction),Moderate Tax,22,,,,Short-term (1 year),Digital Nomad Visa,,
Athens,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reduced tax for new residents (50% reduction),Moderate Tax,22,,,,,,,
Krakow,General,free,Affordable,650,Affordable,450,Affordable,1000,Affordable,700,Affordable,1300,Affordable,950,Average,KRK - John Paul II,22,-2,Good,,Good,Krakow,Good,Poland,Moderate,Good,Good,,Good,Large,Good,Good,Good,Good,Good,Good,Moderate,18,120-200,Good,Affordable,2100,Affordable,950,Good,Good,Good,Good,Medium,,Good,Rainy,100,Central Europe,Good,Excellent,Good,Average,Affordable,550,Affordable,400,Mild,1580,Moderate Sunshine,,,,Average,Good,"Medieval, Beer, Historic, Affordable, Students, Beautiful, Authentic",,,Excellent,Cold
Krakow,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Tax: IP Box regime for tech | Cost: Very cheap | History: UNESCO old town | Cons: Cold winters | Best for: History lovers, budget conscious, winter sports nearby",,,,,,,,,,,,,,,,IP Box (5% tax on IP income),Low Tax,19,,,,Short-term (1 year),Business/Freelance,,
Krakow,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP Box (5% tax on IP income),Low Tax,19,,,,,,,
Split,General,free,Moderate,800,Moderate,550,Moderate,1200,Moderate,850,Moderate,1600,Moderate,1150,Low,SPU - Split,28,9,Good,,Good,Split,Good,Croatia,Few,Good,Good,,Good,Medium,Good,Good,Average,Good,Good,Good,Few,12,50-120,Good,Affordable,2500,Affordable,1200,Good,Good,Excellent,Good,Medium,,Average,Moderate,80,Southern Europe,Good,Good,Good,Average,Moderate,650,Affordable,450,Hot,2700,Very High Sunshine,,,,Average,Good,"Beach, Sailing, Dalmatian Coast, Historic, Islands, Summer Vibe, Relaxed",,,Good,Mild
Split,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: Digital nomad tax breaks | Visa: Croatia DN visa popular | Summer: Peak season amazing | Winter: Many places close | Islands: Easy island hopping | Best for: Summer nomads, sailing enthusiasts, island lovers",,,,,,,,,,,,,,,,Reduced rates for new residents,Moderate Tax,25,,,,Short-term (1 year),Digital Nomad Visa,,
Split,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reduced rates for new residents,Moderate Tax,25,,,,,,,
Sofia,General,free,Very Affordable,500,Very Affordable,350,Very Affordable,750,Affordable,550,Very Affordable,1000,Affordable,750,Average,SOF - Sofia,24,0,Good,,Average,Sofia,Good,Bulgaria,Few,Average,Good,,Good,Medium,Good,Good,Average,Good,Excellent,Good,Moderate,15,80-150,Good,Very Affordable,1800,Very Affordable,800,Good,Good,Good,Average,Medium,,Good,Rainy,100,Eastern Europe,Good,Good,Good,Average,Very Affordable,400,Very Affordable,300,Warm,1800,Moderate Sunshine,,,,Average,Average,"Affordable, Mountains, Skiing, Vitosha, Communist Architecture, Budget",,,Good,Cold
Sofia,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: 10% flat income tax | Cost: Cheapest EU capital | Mountains: Vitosha for skiing/hiking | Internet: Good for price | Healthcare: Cheap but variable quality | Best for: Extreme budget, mountain lovers, winter sports",,,,,,,,,,,,,,,,Lowest tax in EU (10% flat),Very Low Tax,10,,,,Short-term (1 year),D Visa for Freelancers,,
Sofia,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lowest tax in EU (10% flat),Very Low Tax,10,,,,,,,
Bucharest,General,free,Affordable,600,Affordable,400,Affordable,950,Affordable,650,Affordable,1200,Affordable,850,Good,OTP - Henri CoandÄƒ,25,0,Average,,Average,Bucharest,Good,Romania,Moderate,Good,Good,,Good,Medium,Average,Good,Good,Good,Excellent,Good,Few,12,200-500,Excellent,Very Affordable,2000,Very Affordable,900,Good,Good,Good,Average,Medium,,Good,Moderate,90,Eastern Europe,Good,Good,Good,Average,Affordable,500,Affordable,350,Warm,2100,Good Sunshine,,,,Average,Average,"Fastest Internet, Affordable, Nightlife, Communist Past, Paris of East, Gritty",,,Good,Cold
Bucharest,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Tax: Microenterprise 1-3% on revenue | Internet: Fastest in Europe (500+ Mbps) | Cost: Very cheap | Nightlife: Underrated party scene | Best for: Digital workers needing speed, budget conscious",,,,,,,,,,,,,,,,Microenterprise (1-3% revenue tax),Very Low Tax,10,,,,Short-term (1 year),Freelance/Business,,
Bucharest,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microenterprise (1-3% revenue tax),Very Low Tax,10,,,,,,,
Tbilisi,General,free,Very Affordable,450,Very Affordable,300,Very Affordable,700,Very Affordable,500,Very Affordable,900,Very Affordable,650,Average,TBS - Tbilisi International,26,2,Average,,Good,Tbilisi,Good,Georgia,Few,Average,Good,,Average,Large,Average,Average,Average,Good,Good,Average,Few,10,50-100,Good,Very Affordable,1600,Very Affordable,700,Good,Good,Good,Good,Medium,,Average,Rainy,110,Caucasus,Good,Excellent,Good,Average,Very Affordable,350,Very Affordable,250,Warm,2200,Good Sunshine,,,,Average,Average,"Cheap, Wine, Mountains, Unique, Caucasus, Startup Scene, Adventurous",,,Good,Cold
Tbilisi,Visa,premium,,,,,,,,,,,,,,,,,,Good,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: 0% on foreign income under territorial system | Visa: 1-year DN visa easy | Cost: Extremely cheap | Wine: Ancient wine culture | Culture: Unique Caucasus blend | Best for: Budget nomads, adventurers, wine lovers",,,,,,,,,,,,,,,,Territorial taxation (foreign income 0%),Very Low Tax,1,,,,Short-term (1 year),Remotely from Georgia,,
Tbilisi,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Territorial taxation (foreign income 0%),Very Low Tax,1,,,,,,,
Belgrade,General,free,Affordable,550,Affordable,400,Affordable,850,Affordable,600,Affordable,1100,Affordable,800,Average,BEG - Nikola Tesla,25,1,Average,,Good,Belgrade,Good,Serbia,Few,Average,Excellent,,Good,Medium,Average,Good,Average,Good,Good,Average,Few,10,80-150,Good,Very Affordable,1900,Very Affordable,850,Good,Good,Good,Average,Medium,,Average,Rainy,100,Eastern Europe,Good,Good,Excellent,Average,Affordable,450,Very Affordable,300,Warm,2068,Good Sunshine,,,,Average,Good,"Party, Nightlife, Rakija, Affordable, Balkans, Gritty, Alternative, Underground",,,Good,Cold
Belgrade,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Tax: Low tax options | Nightlife: Amazing party scene | Cost: Very cheap | River: Danube and Sava confluence | Cons: Bureaucracy, smoking culture | Best for: Party lovers, budget travelers, Balkans base",,,,,,,,,,,,,,,,Lump sum taxation available,Very Low Tax,10,,,,Short-term (1 year),Temporary Residence,,
Belgrade,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lump sum taxation available,Very Low Tax,10,,,,,,,
Vilnius,General,free,Affordable,700,Affordable,500,Affordable,1050,Affordable,750,Affordable,1400,Affordable,1000,Average,VNO - Vilnius,21,-4,Good,,Good,Vilnius,Good,Lithuania,Few,Good,Good,,Good,Medium,Good,Good,Average,Good,Good,Good,Few,12,120-250,Excellent,Affordable,2400,Affordable,1100,Good,Good,Average,Good,Medium,,Good,Moderate,90,Northern Europe,Good,Excellent,Good,Average,Affordable,600,Affordable,400,Mild,1800,Moderate Sunshine,,,,Average,Average,"Baltic, Baroque, Affordable, Clean, Safe, Forest, Startup Scene",,,Good,Very Cold
Vilnius,Visa,premium,,,,,,,,,,,,,,,,,,Good,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,"Tax: Individual activity 5% for freelancers | Cost: Affordable | Safety: Very safe | Nature: Surrounded by forests | Fintech: Growing fintech scene | Best for: Solo digital workers, safety-conscious, nature lovers",,,,,,,,,,,,,,,,Individual activity certificate (5% tax),Low Tax,15,,,,Short-term (1 year),Temporary Residence Permit,,
Vilnius,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Individual activity certificate (5% tax),Low Tax,15,,,,,,,
Riga,General,free,Moderate,750,Moderate,550,Moderate,1150,Moderate,850,Moderate,1500,Moderate,1100,Average,RIX - Riga International,21,-3,Good,,Good,Riga,Good,Latvia,Few,Good,Good,,Good,Medium,Good,Good,Average,Good,Good,Good,Few,10,100-200,Good,Affordable,2500,Affordable,1150,Good,Good,Average,Good,Medium,,Good,Rainy,95,Northern Europe,Good,Excellent,Good,Average,Affordable,600,Affordable,450,Mild,1750,Moderate Sunshine,,,,Average,Average,"Art Nouveau, Baltic, Affordable, Architecture, Old Town, Beach Access",,,Good,Very Cold
Riga,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Tax: Microenterprise options | Architecture: Stunning Art Nouveau | Beach: Nearby Jurmala | Cost: Affordable | Old Town: UNESCO heritage | Best for: Architecture lovers, beach + city combo",,,,,,,,,,,,,,,,Microenterprise tax (25% on profit),Low Tax,20,,,,Short-term (1 year),Temporary Residence,,
Riga,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microenterprise tax (25% on profit),Low Tax,20,,,,,,,
Warsaw,General,free,Moderate,800,Moderate,600,Moderate,1200,Moderate,900,Moderate,1600,Moderate,1200,Average,WAW - Chopin,23,-1,Good,,Good,Warsaw,Good,Poland,Moderate,Good,Good,,Good,Medium,Good,Good,Good,Good,Good,Good,Moderate,20,150-300,Good,Affordable,2600,Affordable,1200,Good,Good,Average,Good,Medium-High,,Good,Rainy,100,Central Europe,Good,Good,Good,Good,Moderate,650,Affordable,450,Mild,1600,Moderate Sunshine,,,,Good,Good,"Modern, Business, Rebuilt, Growing, Tech Hub, Professional, Ambitious",,,Good,Cold
Warsaw,Visa,premium,,,,,,,,,,,,,,,,,,Average,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Tax: IP Box for tech workers | Economy: Strongest in Eastern Europe | Modern: Rebuilt after WWII | Professional: Business-oriented | Cost: More expensive than Krakow but still affordable | Best for: Tech professionals, career-focused",,,,,,,,,,,,,,,,IP Box (5% for IT),Low Tax,19,,,,Short-term (1 year),Business/Work,,
Warsaw,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP Box (5% for IT),Low Tax,19,,,,,,,
Amsterdam,General,free,Very Expensive,1600,Very Expensive,1200,Very Expensive,2400,Very Expensive,1800,Very Expensive,3200,Very Expensive,2400,Good,AMS - Schiphol,21,4,Excellent,,Excellent,Amsterdam,Excellent,Netherlands,Abundant,Excellent,Excellent,,Excellent,Very Large,Average,Excellent,Excellent,Excellent,Good,Excellent,Abundant,50,200-500,Excellent,Very Expensive,4500,Very Expensive,2200,Good,Excellent,Good,Good,Very High,,Excellent,Rainy,100,Western Europe,Excellent,Excellent,Good,Excellent,Very Expensive,1300,Very Expensive,950,Mild,1660,Moderate Sunshine,,,,Excellent,Excellent,"Bikes, Canals, Liberal, International, Expensive, Tech Hub, English-Friendly",,,Excellent,Cool
Amsterdam,Visa,premium,,,,,,,,,,,,,,,,,,Good,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,"Tax: 30% ruling gives significant break for qualified expats | Bikes: Best bike infrastructure globally | English: Everyone speaks English | Cost: Very expensive | Tech: Major startup hub | Best for: High earners, tech workers, bike enthusiasts",,,,,,,,,,,,,,,,30% ruling (tax break for expats),High Tax,37.1,,,,Very Long-term (5 years),Highly Skilled Migrant,,
Amsterdam,Tax,premium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30% ruling (tax break for expats),High Tax,37.1,,,,,,,
Copenhagen,General,free,Very Expensive,1700,Very Expensive,1300,Very Expensive,2600,Very Expensive,1950,Very Expensive,3500,Very Expensive,2600,Average,CPH - Kastrup,20,2,Excellent,,Excellent,Copenhagen,Excellent,Denmark,Many,Good,Good,,Excellent,Large,Good,Excellent,Excellent,Excellent,Good,Excellent,Many,35,150-300,Excellent,Very Expensive,5000,Very Expensive,2400,Good,Excellent,Good,Excellent,Very High,,Excellent,Rainy,110,Northern Europe,Excellent,Excellent,Good,Excellent,Very Expensive,1400,Very Expensive,1000,Mild,1600,Moderate Sunshine,,,,Excellent,Excellent,"Hygge, Bikes, Design, Expensive, Quality of Life, Sustainable, Happy",,,Excellent,Cold
