city,Country,Region,tier,Tax_Rate_Standard_Pct,Tax_Level,Special_Tax_Rate_Percent,Tax_Score,Tax_Benefits_Premium,Special_Regime_Name,Flat_Tax_Available,Social_Security_Applicable,Tax_Treaty_Countries,Min_Stay_Days_For_Tax_Residency,Employment_Type_Eligibility,Premium_Insights,Last_Updated
Dublin,Ireland,Western Europe,premium,40,Moderate-High,12,Moderate – corporate 12.5% is key; personal high,Irish holding company: 12.5% corporate tax. SARP (Special Assignee Relief Programme): 30% income relief for qualifying assignees.,12.5% Corporate Tax + SARP for employees,No – SARP is partial relief only,Yes – PRSI ~4% employee,"USA, UK, Germany + 73 others",183,Company owners (12.5%); qualifying employees (SARP),"12.5% corporate is the headline – used by Google, Apple, Meta for EU structures. Personal income tax 40-52% (including USC/PRSI) is high. SARP: 30% relief on salary above €75k for qualifying assignees. Non-Schengen EU means different travel access. Best for: business owners using Irish holding structure, multinationals.","2026-02-21"""
Munich,Germany,Western Europe,premium,45,High,45,"Poor for nomads – same as Berlin, no special regime",R&D tax credits available. Bavaria state has no additional income tax deductions beyond standard.,Standard German Progressive Tax,No,Yes – ~20% employee total,Same as Berlin – 100+ treaties,183,All,Same German tax framework as Berlin. No Bavarian-specific advantages. High earning potential from Munich tech/engineering sector partially offsets high tax. Freelancers can deduct significant business expenses reducing effective rate. Best for: established professionals with German clients/employers.,2026-02-21
Vienna,Austria,Western Europe,premium,55,High,55,"Poor for nomads – high tax, no special regime",Research premium (14% of R&D spend). Startup incentives. No special nomad/expat tax regime.,Standard Austrian Progressive Tax (no special nomad regime),No,Yes – ~18.2% employee,"USA, UK, Germany + 90 others",183,All,No special expat/nomad tax regime. Progressive up to 55%. However quality of life is consistently #1 globally (Mercer). Best for EU citizens prioritizing lifestyle over tax optimization. Gewerbeschein (business license) for EU self-employed is simple and cheap.,2026-02-21
Malaga,Spain,Southern Europe,premium,47,High (offset by Beckham Law),24,Good,Beckham Law + Andalusia regional tax reductions.,Régimen Especial + Andalusia regional benefits,Yes – via Beckham,Yes,"USA, UK, Germany + 90 others",183,Employees of non-Spanish companies,Andalusia region has lower regional income tax rates than Catalonia (Barcelona). Effective burden lower than Barcelona for same income. Growing Google-anchored tech scene creating employer ecosystem.,2026-02-21
Nice,France,Western Europe,premium,45,High,45,Moderate – auto-entrepreneur attractive for small income; Monaco proximity,"Auto-entrepreneur: simplified regime, flat % social contributions (~22-25%), no VAT under threshold. Monaco proximity: 0% income tax (20 min away).",Auto-Entrepreneur + Monaco Proximity Advantage,No formal flat – auto-entrepreneur simplifies contributions,Yes – ~22-25% auto-entrepreneur,"USA, UK, Germany + 120 others",183,Auto-entrepreneur for small businesses; employed via Talent Passport,"Auto-entrepreneur (micro-enterprise) best for income under €77k services: pay ~22% social contributions, progressive income tax on top. Monaco (20 min from Nice) has 0% income tax for residents – requires Monaco residency (expensive – €3k+/month housing minimum). Côte d'Azur lifestyle with Monaco optionality is unique. Best for: high earners considering Monaco residency, lifestyle nomads.","2026-02-21"""
Sarajevo,Bosnia,Southern Europe,premium,10,Very Low,10,"Excellent rate, poor infrastructure",10% flat income tax. 10% corporate tax. Extremely low rates.,Bosnian Flat Tax,Yes – 10% flat,Yes – ~31% total (high relative to income tax),"Limited – Austria, Hungary, UK + ~20 others",183,All types,"Impressive 10% flat rate but social security contributions are high (~31%). Complex administrative system with entity (Federation vs RS) differences. Non-EU, no Schengen. Best for ultra-budget nomads accepting administrative complexity for extremely low cost base.",2026-02-21
Tirana,Albania,Southern Europe,premium,15,Low,15,"Good – flat low tax, non-EU simplicity",15% flat personal income tax. 15% corporate tax. Simple tax system.,Albanian Flat Tax System,Yes – flat 15%,Yes – ~9.5% employee,"Limited – Italy, Germany, Hungary, Belgium + ~20 others",183,All employment types,"Simple flat 15% system. EU candidate country – expect harmonization in coming years. Very low cost means even at 15% take-home is high in real terms. Best for: budget nomads comfortable outside EU/Schengen, those wanting low-tax non-EU base.",2026-02-21
Brno,Czech Republic,Central Europe,premium,23,Low-Moderate,15,Excellent – same Czech Zivno benefits,OSVČ 60% lump-sum deduction same as Prague.,OSVČ Paušální výdaje,Yes – 15% on 40% of income,Yes,Same as Prague,183,Self-employed Zivno holders,Same Czech tax benefits as Prague at 25-30% lower cost of living. Better net efficiency than Prague for same income.,2026-02-21
Gdansk,Poland,Central Europe,premium,32,Moderate,12,Good,Ryczałt lump-sum same as Poland-wide.,Ryczałt,Yes,Yes – ZUS,Same as Warsaw,183,Self-employed,Polish coastal city. Same Ryczałt framework. Slightly higher living costs than Krakow/Wroclaw but Baltic lifestyle premium.,2026-02-21
Ljubljana,Slovenia,Central Europe,premium,50,High,19,Moderate – normalized rate for self-employed,Self-employed normirani odhodki: 80% expense deduction bringing effective rate to ~9.6% for up to €50k income.,Normirani odhodki – Lump-Sum Expense Deduction,Yes – via normirani odhodki,Yes – ~22% self-employed,"USA, UK, Germany + 55 others",183,Self-employed (s.p.) up to €50k revenue,Normirani odhodki deduct 80% of income for sole traders – effective income tax rate is ~9.6% on gross revenue up to €50k. Above €50k normal progressive rates apply. Social contributions ~€350/month. Best structure: Slovenian s.p. (sole proprietorship) using normirani regime.,2026-02-21
Cluj-Napoca,Romania,Eastern Europe,premium,10,Very Low,1,Excellent – same micro-enterprise as Bucharest,Same Romanian micro-enterprise 1% tax. Same PFA 10% flat.,Impozit Microîntreprinderi,Yes – 1% SRL,Yes – same as Bucharest,Same as Bucharest,183,"Company owners, freelancers",Same tax as Bucharest. Cluj is Romania's tech capital – better ecosystem for tech nomads. Slightly higher cost than Bucharest but still very affordable. Best Romanian city for tech workers.,2026-02-21
Wroclaw,Poland,Central Europe,premium,32,Moderate,12,Good – Ryczałt available,Ryczałt lump-sum tax option same as rest of Poland.,Ryczałt,Yes,Yes – ZUS,Same as Warsaw,183,Self-employed,Same framework as Warsaw/Krakow. Lower cost of living improves net position further.,2026-02-21
Seville,Spain,Southern Europe,premium,47,High (offset by Beckham),24,Good,Beckham Law + Andalusia regional reductions.,Régimen Especial + Andalusia,Yes,Yes,"USA, UK + 90 others",183,Employees of non-Spanish companies,Same Andalusia framework. Summer heat (40°C+) limits year-round viability. Best as seasonal base.,2026-02-21
Granada,Spain,Southern Europe,premium,47,High (offset by Beckham),24,Good – Andalusia low regional rates,Beckham Law + Andalusia regional reductions.,Régimen Especial + Andalusia regional benefits,Yes,Yes,"USA, UK + 90 others",183,Employees of non-Spanish companies,Cheapest Spanish DNV-eligible city. Same tax framework as Malaga. Best cost:tax ratio in Spain.,2026-02-21
Naples,Italy,Southern Europe,premium,43,High,100,Poor for most; excellent for very high earners,Flat €100k/year tax on all worldwide income for non-doms (7 years). Also Impatriate regime: 70% income exemption for 5 years.,Non-Dom €100k Flat Tax + Impatriate Regime,Yes – €100k/year flat,Yes – complex Italian INPS system,"USA, UK, Germany, France + 90 others",183,"Non-doms (high earners)""; impatriate regime for employees/self-employed",Italian Impatriate Regime: 70% income exemption for 5 years (90% in Southern Italy including Naples). Extremely attractive for high earners moving to southern Italy. €100k flat tax for ultra-high net worth. Italian bureaucracy remains complex. Best: hire an Italian commercialista (accountant).,2026-02-21
Thessaloniki,Greece,Southern Europe,premium,44,High (offset by 50% exemption),22,Excellent – same Greek exemption framework,50% income tax exemption for 7 years – same as Athens.,Article 5C – 50% Tax Exemption,Yes – €100k non-dom option,Yes,Same as Athens – 57+ treaties,183,New tax residents,"Same tax benefits as Athens at significantly lower cost of living. For same income, Thessaloniki gives better net lifestyle value. Smaller nomad community but tax advantages are identical.",2026-02-21
Plovdiv,Bulgaria,Eastern Europe,premium,10,Very Low,10,Excellent – same as Sofia,Same Bulgarian 10% flat system.,Bulgarian Flat Tax,Yes,Yes – minimum base option,Same as Sofia,183,All,"Same 10% flat as Sofia at lower cost of living. Smaller city, less nomad infrastructure but strong arts scene. Best for nomads wanting Bulgarian tax efficiency in quieter environment.",2026-02-21
Funchal,Madeira,Southern Europe,premium,28,Moderate,20,"Excellent – NHR applies, Madeira has additional incentives",NHR 20% flat. Madeira IFCM (International Business Centre) for companies: 5% corporate tax.,NHR + IFCM Madeira,Yes,Yes,All Portuguese treaties apply – 80+,183,"Freelancers, remote employees, company owners",Madeira IFCM offers 5% corporate tax for international services companies until 2027. Combined with NHR personal rate: very efficient structure for business owners. Digital Nomad Village (Ponta do Sol) has government support infrastructure.,2026-02-21
Las Palmas,Gran Canaria,Southern Europe,premium,47,High (offset by Beckham + ZEC),4,Excellent – ZEC 4% corporate tax unique in EU,Beckham Law 24% personal + ZEC (Zona Especial Canaria) 4% corporate tax for registered companies.,ZEC – Zona Especial Canaria + Beckham Law,Yes – ZEC corporate 4%,Yes – reduced under ZEC for qualifying companies,All Spanish treaties apply,183,"Company owners, freelancers incorporating, remote employees",ZEC requires minimum investment and job creation but offers EU's lowest corporate tax at 4%. Combined with year-round 22°C climate = exceptional value. Best structure: personal Beckham Law + ZEC company. Must maintain physical presence and staff.,2026-02-21
Coimbra,Portugal,Southern Europe,premium,28,Moderate,20,Excellent – NHR applies,NHR / NHR 2.0: 20% flat on qualifying income.,NHR – Non-Habitual Resident,Yes,Yes,All Portuguese treaties – 80+,183,"Freelancers, remote employees, passive income",Same NHR framework as Lisbon/Porto at much lower cost of living. Most budget-efficient Portugal tax base.,2026-02-21
Timisoara,Romania,Eastern Europe,premium,10,Very Low,1,Excellent – same Romanian micro-enterprise,Same Romanian 1% micro-enterprise tax.,Impozit Microîntreprinderi,Yes,Yes,Same as Bucharest,183,"Company owners, freelancers",Westernmost Romania – proximity to Hungary and Serbia. Same low tax. Lower cost than Bucharest/Cluj. Less nomad infrastructure but growing.,2026-02-21
Bratislava,Slovakia,Central Europe,premium,25,Low-Moderate,21,"Good – flat tax, low social contributions option",21% flat income tax. Paušálne výdavky (flat expense deduction) for self-employed: 60% of revenue deducted.,Paušálne výdavky – Slovak Lump-Sum Deduction,Yes – 21% flat,Yes – ~13.4% employee social + ~14% health,"USA, UK, Germany + 60 others",183,"Self-employed, employees",Similar to Czech system. 60% lump-sum expense deduction for self-employed brings effective rate very low. Close to Vienna (1hr train) allows lifestyle arbitrage. Good for EU company registration via simple Slovak s.r.o. (LLC).,2026-02-21
Nicosia,Cyprus,Southern Europe,premium,35,Low-Moderate,0,Excellent – 0% dividends and capital gains,0% tax on dividends. 0% tax on capital gains. 12.5% corporate tax – lowest in EU. Non-dom: 50% income exemption for 10 years.,Non-Dom Status + 12.5% Corporate,Yes – non-dom 50% exemption,Yes – 8.3% employee,"Russia, UAE, UK, Germany + 65 others",60,"Company owners, investors, high earners – non-dom for those not previously resident",Cyprus has one of Europe's most attractive tax regimes for investors and company owners. Non-dom status exempts from SDC tax on dividends/interest for 17 years. 60-day tax residency rule (vs 183 elsewhere) for those who don't become resident elsewhere. Non-Schengen EU impacts travel.,2026-02-21
Groningen,Netherlands,Northern Europe,premium,49,High,34,Moderate – 30% ruling brings rate to competitive level,30% Ruling: 30% of gross salary paid tax-free for 5 years. Effective rate ~34% for €80k income.,30% Ruling (30%-Regeling),No – partial exemption,Yes – ~27.65% national insurance,"USA, UK, Germany + 90 others",183,"Employees with Dutch employer, specific salary minimum","30% ruling requires Dutch employer, recruited from 150km+ outside NL, minimum salary ~€46k/year (2024). ZZP (freelance sole trader) available for EU citizens without sponsor but no 30% ruling. Groningen is student/university city – good community, lower cost than Amsterdam. Best for: employed workers with Dutch employer.",2026-02-21
Innsbruck,Austria,Western Europe,premium,55,High,55,"Poor – same Austrian tax, smaller city",Same Austrian research/R&D credits. No special nomad regime.,Standard Austrian Progressive Tax,No,Yes – ~18.2% employee,Same as Vienna,183,All,Same as Vienna framework. Innsbruck's advantage is Alpine outdoor lifestyle vs business hub. Gewerbeschein for EU self-employed. Best for: lifestyle-first nomads who don't prioritize tax optimization and love mountains/skiing.,2026-02-21
Cork,Ireland,Western Europe,premium,40,Moderate-High,12,Moderate – same Irish framework as Dublin,Same 12.5% corporate and SARP as Dublin.,12.5% Corporate + SARP,No,Yes – PRSI,Same as Dublin,183,"Company owners, qualifying employees",Same Irish tax framework as Dublin at lower cost. Apple's European HQ is in Cork creating strong corporate tech ecosystem. Best for: business owners using Irish corporate structure.,2026-02-21
Aarhus,Denmark,Northern Europe,premium,55,Very High,32,Poor – same Danish framework as Copenhagen,Same Forskerordningen 32.84% flat scheme.,Forskerordningen,Yes – via Forskerordningen,Minimal,Same as Copenhagen,183,High-earning employees with Danish employer,Same as Copenhagen framework at lower cost. Second city – less competitive housing. Not nomad-friendly from tax/visa perspective for independents.,2026-02-21
